service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
2,1,1,1,1,1,0,0,20260107,20260201
3,0,0,0,0,0,1,0,20260107,20260201
4,0,0,0,0,0,0,1,20260107,20260201
19,0,0,0,0,0,1,0,20260107,20260201
20,0,0,0,0,0,0,1,20260107,20260201
21,1,1,1,1,1,0,0,20260107,20260201
402,1,1,1,1,0,0,0,20260107,20260201
502,0,0,0,0,1,0,0,20260107,20260201
902,0,0,0,0,1,0,0,20260107,20260201
1002,1,1,1,1,0,0,0,20260107,20260201
1521,1,1,1,1,0,0,0,20260107,20260201
1621,0,0,0,0,1,0,0,20260107,20260201
