service_id,date,exception_type
2,20251030,1
21,20251030,1
402,20251030,1
1002,20251030,1
1521,20251030,1
2,20251031,1
21,20251031,1
502,20251031,1
902,20251031,1
1621,20251031,1
2,20251106,1
21,20251106,1
402,20251106,1
1002,20251106,1
1521,20251106,1
2,20251107,1
21,20251107,1
502,20251107,1
902,20251107,1
1621,20251107,1
2,20251113,1
21,20251113,1
402,20251113,1
1002,20251113,1
1521,20251113,1
2,20251114,1
21,20251114,1
502,20251114,1
902,20251114,1
1621,20251114,1
2,20251120,1
21,20251120,1
402,20251120,1
1002,20251120,1
1521,20251120,1
2,20251121,1
21,20251121,1
502,20251121,1
902,20251121,1
1621,20251121,1
4,20251127,1
20,20251127,1
3,20251128,1
19,20251128,1
2,20251204,1
21,20251204,1
402,20251204,1
1002,20251204,1
1521,20251204,1
2,20251205,1
21,20251205,1
502,20251205,1
902,20251205,1
1621,20251205,1
2,20251211,1
21,20251211,1
402,20251211,1
1002,20251211,1
1521,20251211,1
2,20251212,1
21,20251212,1
502,20251212,1
902,20251212,1
1621,20251212,1
2,20251218,1
21,20251218,1
402,20251218,1
1002,20251218,1
1521,20251218,1
2,20251219,1
21,20251219,1
502,20251219,1
902,20251219,1
1621,20251219,1
4,20251225,1
20,20251225,1
2,20251226,1
21,20251226,1
502,20251226,1
902,20251226,1
1621,20251226,1
4,20260101,1
20,20260101,1
2,20260102,1
21,20260102,1
502,20260102,1
902,20260102,1
1621,20260102,1
2,20260108,1
21,20260108,1
402,20260108,1
1002,20260108,1
1521,20260108,1
2,20260109,1
21,20260109,1
502,20260109,1
902,20260109,1
1621,20260109,1
2,20260115,1
21,20260115,1
402,20260115,1
1002,20260115,1
1521,20260115,1
2,20260116,1
21,20260116,1
502,20260116,1
902,20260116,1
1621,20260116,1
2,20260122,1
21,20260122,1
402,20260122,1
1002,20260122,1
1521,20260122,1
2,20260123,1
21,20260123,1
502,20260123,1
902,20260123,1
1621,20260123,1
2,20260129,1
21,20260129,1
402,20260129,1
1002,20260129,1
1521,20260129,1
2,20260130,1
21,20260130,1
502,20260130,1
902,20260130,1
1621,20260130,1
