route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
26670,DART,001,MALCOLM X/MAPLE,,3,https://www.dart.org/guide/transit-and-use/bus-routes/bus-route-detail/001,FFCC00,FFFFFF
26671,DART,003,ROSS,,3,https://www.dart.org/guide/transit-and-use/bus-routes/bus-route-detail/003,FFCC00,FFFFFF
26672,DART,005,LOVE FIELD SHUTTLE,,3,https://www.dart.org/guide/transit-and-use/bus-routes/bus-route-detail/005,FFCC00,FFFFFF
26673,DART,009,JEFFERSON GASTON,,3,https://www.dart.org/guide/transit-and-use/bus-routes/bus-route-detail/009,FFCC00,FFFFFF
26674,DART,013,ERVAY,,3,https://www.dart.org/guide/transit-and-use/bus-routes/bus-route-detail/013,FFCC00,FFFFFF
26675,DART,015,BUCKNER,,3,https://www.dart.org/guide/transit-and-use/bus-routes/bus-route-detail/015,FFCC00,FFFFFF
26676,DART,016,FERGUSON,,3,https://www.dart.org/guide/transit-and-use/bus-routes/bus-route-detail/016,FFCC00,FFFFFF
26677,DART,017,SKILLMAN,,3,https://www.dart.org/guide/transit-and-use/bus-routes/bus-route-detail/017,FFCC00,FFFFFF
26678,DART,018,SAMUELL,,3,https://www.dart.org/guide/transit-and-use/bus-routes/bus-route-detail/018,FFCC00,FFFFFF
26679,DART,020,NORTHWEST HWY,,3,https://www.dart.org/guide/transit-and-use/bus-routes/bus-route-detail/020,FFCC00,FFFFFF
26680,DART,022,FOREST LANE,,3,https://www.dart.org/guide/transit-and-use/bus-routes/bus-route-detail/022,FFCC00,FFFFFF
26681,DART,023,HASKELL,,3,https://www.dart.org/guide/transit-and-use/bus-routes/bus-route-detail/023,FFCC00,FFFFFF
26682,DART,025,COCKRELL HILL NORTH,,3,https://www.dart.org/guide/transit-and-use/bus-routes/bus-route-detail/025,FFCC00,FFFFFF
26683,DART,027,RIDGECREST,,3,https://www.dart.org/guide/transit-and-use/bus-routes/bus-route-detail/027,FFCC00,FFFFFF
26684,DART,028,SINGLETON,,3,https://www.dart.org/guide/transit-and-use/bus-routes/bus-route-detail/028,FFCC00,FFFFFF
26685,DART,030,LAKE JUNE,,3,https://www.dart.org/guide/transit-and-use/bus-routes/bus-route-detail/030,FFCC00,FFFFFF
26686,DART,038,LEDBETTER,,3,https://www.dart.org/guide/transit-and-use/bus-routes/bus-route-detail/038,FFCC00,FFFFFF
26687,DART,041,BONNIE VIEW,,3,https://www.dart.org/guide/transit-and-use/bus-routes/bus-route-detail/041,FFCC00,FFFFFF
26689,DART,047,POLK,,3,https://www.dart.org/guide/transit-and-use/bus-routes/bus-route-detail/047,FFCC00,FFFFFF
26690,DART,057,WESTMORELAND,,3,https://www.dart.org/guide/transit-and-use/bus-routes/bus-route-detail/057,FFCC00,FFFFFF
26691,DART,101,HAMPTON,,3,https://www.dart.org/guide/transit-and-use/bus-routes/bus-route-detail/101,794489,FFFFFF
26692,DART,102,FORT WORTH,,3,https://www.dart.org/guide/transit-and-use/bus-routes/bus-route-detail/102,794489,FFFFFF
26693,DART,103,CEDAR SPRINGS,,3,https://www.dart.org/guide/transit-and-use/bus-routes/bus-route-detail/103,794489,FFFFFF
26694,DART,104,ILLINOIS,,3,https://www.dart.org/guide/transit-and-use/bus-routes/bus-route-detail/104,794489,FFFFFF
26696,DART,106,BICKERS,,3,https://www.dart.org/guide/transit-and-use/bus-routes/bus-route-detail/106,794489,FFFFFF
26697,DART,108,CAMP WISDOM,,3,https://www.dart.org/guide/transit-and-use/bus-routes/bus-route-detail/108,794489,FFFFFF
26698,DART,109,BECKLEY,,3,https://www.dart.org/guide/transit-and-use/bus-routes/bus-route-detail/109,794489,FFFFFF
26699,DART,114,EAST OAK CLIFF,,3,https://www.dart.org/guide/transit-and-use/bus-routes/bus-route-detail/114,794489,FFFFFF
26700,DART,122,RECORD CROSSING,,3,https://www.dart.org/guide/transit-and-use/bus-routes/bus-route-detail/122,794489,FFFFFF
26688,DART,145,MARSALIS,,3,https://www.dart.org/guide/transit-and-use/bus-routes/bus-route-detail/145,794489,FFFFFF
26701,DART,200,SPRING VALLEY,,3,https://www.dart.org/guide/transit-and-use/bus-routes/bus-route-detail/200,6BCCE7,FFFFFF
26702,DART,202,BUCKINGHAM,,3,https://www.dart.org/guide/transit-and-use/bus-routes/bus-route-detail/202,6BCCE7,FFFFFF
26703,DART,203,CENTERVILLE,,3,https://www.dart.org/guide/transit-and-use/bus-routes/bus-route-detail/203,6BCCE7,FFFFFF
26704,DART,204,MILLER,,3,https://www.dart.org/guide/transit-and-use/bus-routes/bus-route-detail/204,6BCCE7,FFFFFF
26695,DART,205,HENDERSON,,3,https://www.dart.org/guide/transit-and-use/bus-routes/bus-route-detail/205,6BCCE7,FFFFFF
26705,DART,207,LEMMON,,3,https://www.dart.org/guide/transit-and-use/bus-routes/bus-route-detail/207,6BCCE7,FFFFFF
26706,DART,209,MCKINNEY/COLE,,3,https://www.dart.org/guide/transit-and-use/bus-routes/bus-route-detail/209,6BCCE7,FFFFFF
26707,DART,212,LA PRADA,,3,https://www.dart.org/guide/transit-and-use/bus-routes/bus-route-detail/212,6BCCE7,FFFFFF
26708,DART,213,HARRY HINES,,3,https://www.dart.org/guide/transit-and-use/bus-routes/bus-route-detail/213,6BCCE7,FFFFFF
26709,DART,214,LINDSLEY,,3,https://www.dart.org/guide/transit-and-use/bus-routes/bus-route-detail/214,6BCCE7,FFFFFF
26710,DART,215,KIEST,,3,https://www.dart.org/guide/transit-and-use/bus-routes/bus-route-detail/215,6BCCE7,FFFFFF
26711,DART,216,EVERGLADE,,3,https://www.dart.org/guide/transit-and-use/bus-routes/bus-route-detail/216,6BCCE7,FFFFFF
26712,DART,217,LANCASTER/RAMONA,,3,https://www.dart.org/guide/transit-and-use/bus-routes/bus-route-detail/217,6BCCE7,FFFFFF
26713,DART,218,MILITARY,,3,https://www.dart.org/guide/transit-and-use/bus-routes/bus-route-detail/218,6BCCE7,FFFFFF
26714,DART,219,SYLVAN,,3,https://www.dart.org/guide/transit-and-use/bus-routes/bus-route-detail/219,6BCCE7,FFFFFF
26715,DART,220,SCYENE,,3,https://www.dart.org/guide/transit-and-use/bus-routes/bus-route-detail/220,6BCCE7,FFFFFF
