service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
140.0.1,1,1,1,1,1,0,0,20250928,20260131
140.0.2,0,0,0,0,0,1,0,20250928,20260131
140.0.3,0,0,0,0,0,0,1,20250928,20260131
140.0.4,0,0,0,0,0,0,0,20250928,20260131
140.130.1,0,1,1,1,1,1,0,20250928,20260131
140.135.1,0,1,1,1,1,1,0,20250928,20260131
140.159.1,0,0,0,0,0,0,0,20250928,20260131
140.158.1,0,0,0,0,0,0,0,20250928,20260131
140.CCEX.1,1,1,1,1,1,1,1,20251130,20251230
140.CCPT.1,1,1,0,1,1,1,1,20251130,20251230
140.CCPT.2,0,0,0,0,0,1,0,20251130,20251230
140.CCPT.3,0,0,0,0,0,0,1,20251130,20251230
