service_id,date,exception_type
140.105.1,20250929,1
140.105.1,20250930,1
140.105.1,20251001,1
140.105.1,20251002,1
140.105.1,20251003,1
140.105.1,20251006,1
140.105.1,20251007,1
140.105.1,20251008,1
140.105.1,20251009,1
140.105.1,20251010,1
140.105.1,20251013,1
140.105.1,20251014,1
140.105.1,20251015,1
140.105.1,20251016,1
140.105.1,20251017,1
140.105.1,20251020,1
140.105.1,20251021,1
140.105.1,20251022,1
140.105.1,20251023,1
140.105.1,20251024,1
140.105.1,20251027,1
140.105.1,20251028,1
140.105.1,20251029,1
140.105.1,20251030,1
140.105.1,20251031,1
140.105.1,20251103,1
140.105.1,20251104,1
140.105.1,20251105,1
140.105.1,20251106,1
140.105.1,20251107,1
140.105.1,20251110,1
140.105.1,20251111,1
140.105.1,20251112,1
140.105.1,20251113,1
140.105.1,20251114,1
140.105.1,20251117,1
140.105.1,20251118,1
140.105.1,20251119,1
140.105.1,20251120,1
140.105.1,20251124,1
140.105.1,20251125,1
140.105.1,20251126,1
140.0.4,20251127,1
140.0.1,20251127,2
140.105.1,20251201,1
140.105.1,20251202,1
140.105.1,20251203,1
140.105.1,20251204,1
140.105.1,20251205,1
140.105.1,20251208,1
140.105.1,20251209,1
140.105.1,20251210,1
140.105.1,20251211,1
140.105.1,20251212,1
140.105.1,20251215,1
140.105.1,20251216,1
140.105.1,20251217,1
140.105.1,20251218,1
140.105.1,20251219,1
140.105.1,20251222,1
140.105.1,20251223,1
140.105.1,20251224,1
140.0.4,20251225,1
140.0.1,20251225,2
140.105.1,20251229,1
140.105.1,20251230,1
140.105.1,20251231,1
140.0.4,20260101,1
140.0.1,20260101,2
140.0.20,20251129,1
140.0.20,20251206,1
140.0.20,20251213,1
140.0.20,20251220,1
140.0.20,20251227,1
140.0.30,20251129,1
140.0.30,20251206,1
140.0.30,20251213,1
140.0.30,20251220,1
140.0.30,20251227,1
140.130.1,20251128,1
140.130.1,20251202,1
140.130.1,20251203,1
140.130.1,20251204,1
140.130.1,20251205,1
140.130.1,20251209,1
140.130.1,20251210,1
140.130.1,20251211,1
140.130.1,20251212,1
140.130.1,20251216,1
140.130.1,20251217,1
140.130.1,20251218,1
140.130.1,20251219,1
140.130.1,20251223,1
140.130.1,20251224,1
140.130.1,20251225,1
140.130.1,20251226,1
140.130.1,20251230,1
140.130.1,20251231,1
140.130.1,20251201,1
140.135.1,20251128,1
140.135.1,20251202,1
140.135.1,20251203,1
140.135.1,20251204,1
140.135.1,20251205,1
140.135.1,20251209,1
140.135.1,20251210,1
140.135.1,20251211,1
140.135.1,20251212,1
140.135.1,20251216,1
140.135.1,20251217,1
140.135.1,20251218,1
140.135.1,20251219,1
140.135.1,20251223,1
140.135.1,20251224,1
140.135.1,20251225,1
140.135.1,20251226,1
140.135.1,20251230,1
140.135.1,20251231,1
140.135.1,20251201,1
140.CCPT_S.2,20251213,2
140.CCPT_S.2,20251220,2
140.CCPT.164,20251205,2
140.CCPT.164,20251212,2
140.CCPT.164,20251216,2
140.CCPT.66,20251205,2
140.CCPT.66,20251211,2
140.CCPT.66,20251212,2
140.CCPT.66,20251216,2
140.CCPT.166,20251205,2
140.CCPT.166,20251211,2
140.CCPT.166,20251215,2
140.CCPT.166,20251216,2
140.CCPT.165,20251205,2
140.CCPT.165,20251215,2
140.CCPT.165,20251216,2
140.CCEX.1,20251204,1
140.CCEX.1,20251225,1
140.CCEX.1,20251226,1
140.CCPT.1,20251204,1
140.CCPT.1,20251225,1
140.CCPT.1,20251226,1
