route_id,route_abbr,dir_id,direction
76500,001,0,TO DOWNTOWN
76501,001,1,FROM DOWNTOWN
76510,002,0,TO DOWNTOWN
76511,002,1,FROM DOWNTOWN
76520,004,0,EASTBOUND
76521,004,1,WESTBOUND
76530,005,0,TO DOWNTOWN
76531,005,1,FROM DOWNTOWN
76540,006,0,TO DOWNTOWN
76541,006,1,FROM DOWNTOWN
76550,011,0,TO DOWNTOWN
76551,011,1,FROM DOWNTOWN
76570,015,0,TO DOWNTOWN
76571,015,1,FROM DOWNTOWN
76580,016,0,NORTHBOUND
76581,016,1,SOUTHBOUND
76590,019,0,CIRCULATOR
76600,021,0,TO ESTC
76601,021,1,FROM ESTC
76610,022,0,TO ESTC
76611,022,1,FROM ESTC
76620,024,0,EASTBOUND
76621,024,1,WESTBOUND
76630,025,0,EASTBOUND
76631,025,1,WESTBOUND
76640,029,0,EASTBOUND
76641,029,1,WESTBOUND
76650,030,0,WEST & AMON
76651,030,1,EAST LOOP
76660,031,0,NORTHBOUND
76661,031,1,SOUTHBOUND
76670,033,0,EASTBOUND
76671,033,1,WESTBOUND
76680,046,0,TO DOWNTOWN
76681,046,1,FROM DOWNTOWN
76690,051,0,NORTHBOUND
76691,051,1,SOUTHBOUND
76700,052,0,NORTHBOUND
76701,052,1,SOUTHBOUND
76710,053,0,NORTHBOUND
76711,053,1,SOUTHBOUND
76720,054,0,NORTHBOUND
76721,054,1,SOUTHBOUND
76730,055,0,NORTHBOUND
76731,055,1,SOUTHBOUND
76740,061,0,TO DOWNTOWN
76741,061,1,FROM DOWNTOWN
76750,063,0,TO DOWNTOWN
76751,063,1,FROM DOWNTOWN
76760,065,0,TO DOWNTOWN
76761,065,1,FROM DOWNTOWN
76770,072,0,TO LAGRAN PLZ
76771,072,1,FROM LAGRAN PLZ
76780,089,0,TO DOWNTOWN
76781,089,1,FROM DOWNTOWN
76790,091,0,EASTBOUND
76791,091,1,WESTBOUND
76800,113,0,CIRCULATOR
76960,815,0,TO DOWNTOWN
76961,815,1,FROM DOWNTOWN
76820,901,0,EASTBOUND
76821,901,1,WESTBOUND
76830,902,0,EASTBOUND
76831,902,1,WESTBOUND
76840,991,0,TO LAGRAVE
76841,991,1,FROM LAGRAVE
76850,BLUE,0,CIRCULATOR
76970,BLUE 2,0,CIRCULATOR
76860,CCOT,0,CIRCULATOR
76870,GREEN,0,CIRCULATOR
76880,MERLOT,0,CIRCULATOR
76890,TEXRAIL,0,EASTBOUND
76891,TEXRAIL,1,WESTBOUND
