stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
1,,Fort Worth Central Station-FWCS,,32.751831,-97.325773,,,1,,,0
2,0002,Hemphill & Berry,Northbound - Near Side,32.705343,-97.331525,,,,,,0
3,,Ridgmar Mall Transfer Center,,32.740036,-97.434167,,,1,,,0
4,,Dr.Dennis Dunkins Transfer Center,,32.740432,-97.263159,,,1,,,0
5,,La Gran Plaza Transfer Center,,32.685013,-97.324356,,,1,,,0
6,0006,Henderson & Peach,Northbound - Far Side,32.756571,-97.340413,,,,,,0
9,,Sierra Vista Transfer Center,,32.7057,-97.305733,,,1,,,0
10,,North Park & Ride,,32.921991,-97.318358,,,1,,,0
11,,TEXRail Mercantile Center Station,,32.819463,-97.293636,,,1,,,0
12,,TEXRail North side Station,,32.795827,-97.337619,,,1,,,0
14,,Trinity Lakes Station,,32.805258,-97.209435,,,1,,,0
15,,DFW Airport(DFW) TEXRail Station,,32.906242,-97.041297,,,1,,,0
16,0016,Henderson & Peach,Southbound - Far Side,32.75652,-97.340666,,,,,,0
18,0018,Vickery Transfer Center (Curb Side),,32.743775,-97.327273,,,,,,0
28,0028,Fort Worth T&P Station,,32.745327,-97.328451,,,,,,0
78,0078,Fort Worth Central Station,,32.751729,-97.325524,,,,,,0
131,0131,Main & Exchange,Southbound - Far Side,32.788159,-97.349239,,,,,,0
217,0217,CentrePort Station,,32.817172,-97.053104,,,,,,0
255,0255,Berry & Evans,Westbound - Far Side,32.706054,-97.319072,,,,,,0
305,0305,South Park And Ride,,32.56348,-97.314852,,,,,,0
339,0339,Sylvania & Yucca,Northbound - Near Side,32.780579,-97.308513,,,,,,0
380,0380,Amon Carter & Sovereign - Trinity,Southbound - Mid Block,32.82433,-97.049374,,,,,,0
381,0381,Amon Carter & Trinity - Sovereign,Northbound - Mid Block,32.823933,-97.048914,,,,,,0
383,0383,Bryant Irvin & River Park,Southbound - Far Side,32.706733,-97.411863,,,,,,0
384,0384,Oakmont & Harris,Westbound - Near Side,32.662692,-97.418777,,,,,,0
385,0385,Magnolia & Hurley,Westbound - Near Side,32.730719,-97.342773,,,,,,0
390,0390,Camp Bowie West & Portales,Eastbound - Far Side,32.724233,-97.467493,,,,,,0
393,0393,McCart & Altamesa - Finbro,Northbound - Mid Block,32.651475,-97.365547,,,,,,0
400,0400,South Fwy & Altamesa,Northbound - Near Side,32.652406,-97.320727,,,,,,0
402,0402,South Fwy & Georgian,Southbound - Near Side,32.639813,-97.321893,,,,,,0
406,0406,Sycamore School & McCart,Westbound - Near Side,32.63508,-97.368347,,,,,,0
408,0408,McCart & Park Lake,Southbound - Near Side,32.653562,-97.363886,,,,,,0
409,0409,Joe B Rushing & C A Roberson,Eastbound - Near Side,32.671929,-97.288071,,,,,,0
410,0410,Hemphill & Mason,Southbound - Near Side,32.68914,-97.331824,,,,,,0
411,0411,Seminary & Hemphill,Eastbound - Far Side,32.684759,-97.330813,,,,,,0
412,0412,Main & 5th - 6th,Northbound - Mid Block,32.765874,-97.338642,,,,,,0
413,0413,University & Botanic Gardens,Northbound - Far Side,32.740742,-97.361316,,,,,,0
417,0417,7th & Ballinger - Collier,Westbound - Mid Block,32.751068,-97.340201,,,,,,0
418,0418,Throckmorton & 6th,Northbound - Near Side,32.752416,-97.33165,,,,,,0
419,0419,7th & Henderson,Eastbound - Far Side,32.750913,-97.337054,,,,,,0
420,0420,7th & Henderson - Lexington,Westbound - Mid Block,32.751094,-97.337859,,,,,,0
421,0421,7th & Fournier,Westbound - Near Side,32.751091,-97.344057,,,,,,0
422,0422,7th & Harrold,Westbound - Far Side,32.751192,-97.349417,,,,,,0
423,0423,7th & Woolery,Westbound - Far Side,32.751173,-97.353044,,,,,,0
425,0425,7th & Currie - Norwood,Westbound - Mid Block,32.751256,-97.358686,,,,,,0
426,0426,7th & Carroll,Eastbound - Far Side,32.750986,-97.35434,,,,,,0
429,0429,7th & Fournier - Penn,Eastbound - Mid Block,32.7509,-97.343133,,,,,,0
431,0431,University & Log Cabin,Southbound - Far Side,32.720084,-97.361476,,,,,,0
432,0432,University & Bowie,Southbound - Near Side,32.707888,-97.360546,,,,,,0
433,0433,University & Bowie - Princeton,Northbound - Mid Block,32.710849,-97.360256,,,,,,0
437,0437,University & Harley - Botanic Gardens,Southbound - Mid Block,32.741406,-97.361598,,,,,,0
438,0438,University & Rock Springs,Southbound - Near Side,32.737225,-97.361551,,,,,,0
439,0439,University & Old University,Southbound - Near Side,32.728694,-97.361417,,,,,,0
440,0440,University & Collinsworth,Southbound - Far Side,32.725882,-97.361383,,,,,,0
441,0441,University & Colonial,Southbound - Near Side,32.721687,-97.361454,,,,,,0
442,0442,University & Park Hill,Southbound - Far Side,32.715838,-97.360489,,,,,,0
443,0443,University & McPherson - Cantey,Southbound - Mid Block,32.713482,-97.36051,,,,,,0
444,0444,University & Princeton,Southbound - Far Side,32.71041,-97.360531,,,,,,0
445,0445,University & Berry - Devitt,Southbound - Mid Block,32.704666,-97.360553,,,,,,0
446,0446,University & Bluebonnet,Southbound - Near Side,32.700083,-97.36057,,,,,,0
450,0450,University & Bluebonnet,Northbound - Far Side,32.699941,-97.360337,,,,,,0
451,0451,University & Berry,Northbound - Near Side,32.705646,-97.360274,,,,,,0
453,0453,University & McPherson,Northbound - Near Side,32.713229,-97.360279,,,,,,0
455,0455,University & Log Cabin,Northbound - Near Side,32.720531,-97.361128,,,,,,0
456,0456,University & Riverfront - Collinsworth,Northbound - Mid Block,32.725734,-97.361049,,,,,,0
457,0457,University & Rosedale,Northbound - Near Side,32.730216,-97.361224,,,,,,0
459,0459,University & Trinity Park,Northbound - Near Side,32.736616,-97.361214,,,,,,0
461,0461,7th & Taylor,Eastbound - Near Side,32.751433,-97.332353,,,,,,0
462,0462,7th & Macon,Westbound - Near Side,32.751096,-97.335476,,,,,,0
464,0464,Main & Dashwood,Southbound - Near Side,32.734344,-97.325984,,,,,,0
465,0465,Allen & South Fwy - Evans,Eastbound - Mid Block,32.726005,-97.31921,,,,,,0
468,0468,Main & I 30,Northbound - Near Side,32.744155,-97.325773,,,,,,0
469,0469,9th & Main,Westbound - Near Side,32.751557,-97.328916,,,,,,0
470,0470,Houston & 11th,Southbound - Near Side,32.750084,-97.329359,,,,,,0
475,0475,Evans & Colvin,Northbound - Near Side,32.713695,-97.318411,,,,,,0
476,0476,Evans & Marion,Northbound - Near Side,32.716182,-97.318356,,,,,,0
490,0490,Evans & Richmond - Jefferson,Northbound - Mid Block,32.724171,-97.318303,,,,,,0
491,0491,Evans & Jefferson - Richmond,Southbound - Mid Block,32.723914,-97.318457,,,,,,0
492,0492,Evans & Arlington,Southbound - Near Side,32.722014,-97.31849,,,,,,0
493,0493,Evans & Powell,Southbound - Near Side,32.719179,-97.318495,,,,,,0
494,0494,Allen & Evans,Westbound - Far Side,32.726243,-97.319017,,,,,,0
496,0496,Allen & Main,Eastbound - Far Side,32.72579,-97.325845,,,,,,0
497,0497,Allen & Epps - South Fwy,Eastbound - Mid Block,32.726037,-97.321117,,,,,,0
499,0499,Main & Morphy,Northbound - Near Side,32.729311,-97.326152,,,,,,0
500,0500,Main & Morphy,Southbound - Far Side,32.72936,-97.326348,,,,,,0
501,0501,Main & Magnolia,Northbound - Near Side,32.730285,-97.325814,,,,,,0
502,0502,Main & Dashwood,Northbound - Far Side,32.734342,-97.325849,,,,,,0
503,0503,Main & Annie,Northbound - Near Side,32.738481,-97.32584,,,,,,0
504,0504,Main & Daggett,Northbound - Near Side,32.74238,-97.325823,,,,,,0
505,0505,Main & Industrial,Southbound - Far Side,32.744218,-97.326013,,,,,,0
506,0506,Main & Cleveland,Southbound - Near Side,32.740636,-97.325954,,,,,,0
507,0507,Main & Annie,Southbound - Near Side,32.738752,-97.325965,,,,,,0
508,0508,Main & Oleander - Magnolia,Southbound - Mid Block,32.731134,-97.32598,,,,,,0
509,0509,Main & St Joseph,Southbound - Near Side,32.726983,-97.32639,,,,,,0
510,0510,Houston & 14th,Southbound - Far Side,32.74755,-97.327635,,,,,,0
514,0514,Riverside & Ennis,Southbound - Far Side,32.759113,-97.301851,,,,,,0
515,0515,Riverside & 4th - Galvez,Southbound - Mid Block,32.762769,-97.301813,,,,,,0
527,0527,Sylvania & Virginia - Bird,Northbound - Mid Block,32.776114,-97.308642,,,,,,0
528,0528,Sylvania & Jeff - Westbrook,Northbound - Mid Block,32.778519,-97.308558,,,,,,0
530,0530,Sylvania & Honeysuckle,Northbound - Far Side,32.783761,-97.308497,,,,,,0
531,0531,Sylvania & Springdale,Northbound - Far Side,32.788409,-97.308485,,,,,,0
532,0532,Sylvania & Hollis - Ivey,Northbound - Mid Block,32.793005,-97.308484,,,,,,0
537,0537,N Beach & Mccomas - Elinor,Southbound - Mid Block,32.800461,-97.29068,,,,,,0
549,0549,Throckmorton & 4th,Northbound - Near Side,32.753618,-97.332599,,,,,,0
553,0553,Camp Bowie & Clarke - Dorothy,Westbound - Mid Block,32.747067,-97.371923,,,,,,0
554,0554,Camp Bowie & Dorothy,Westbound - Near Side,32.746426,-97.373414,,,,,,0
555,0555,Camp Bowie & Belle,Westbound - Near Side,32.745446,-97.3758,,,,,,0
556,0556,Camp Bowie & Thomas,Westbound - Far Side,32.743658,-97.379963,,,,,,0
557,0557,Camp Bowie & Hulen,Westbound - Near Side,32.740502,-97.387596,,,,,,0
559,0559,Camp Bowie & Eldridge,Westbound - Near Side,32.738204,-97.393031,,,,,,0
560,0560,Camp Bowie & Penticost,Westbound - Far Side,32.737319,-97.395249,,,,,,0
561,0561,Camp Bowie & Neville - Merrick,Westbound - Mid Block,32.736279,-97.39773,,,,,,0
562,0562,Camp Bowie & Merrick - Pershing,Westbound - Far Side,32.735747,-97.399012,,,,,,0
563,0563,Camp Bowie & Lovell - Halloran,Westbound - Near Side,32.731305,-97.409626,,,,,,0
564,0564,Camp Bowie & Bryant Irvin,Westbound - Near Side,32.730015,-97.412697,,,,,,0
565,0565,Camp Bowie & Winthrop,Westbound - Near Side,32.729169,-97.41472,,,,,,0
566,0566,Camp Bowie & Ridglea,Westbound - Near Side,32.727023,-97.419847,,,,,,0
567,0567,Camp Bowie & Ridglea - Hilldale,Westbound - Mid Block,32.726353,-97.421449,,,,,,0
569,0569,Camp Bowie & Pelham,Westbound - Near Side,32.722731,-97.430178,,,,,,0
571,0571,Lackland & Hemsell,Northbound - Near Side,32.725058,-97.434645,,,,,,0
572,0572,Lackland & Garland,Northbound - Near Side,32.727105,-97.434612,,,,,,0
573,0573,Lackland & Curzon,Northbound - Near Side,32.729473,-97.434585,,,,,,0
574,0574,Lackland & Calmont,Northbound - Near Side,32.733557,-97.434529,,,,,,0
575,0575,Green Oaks & West Fwy,Northbound - Far Side,32.736515,-97.4341,,,,,,0
576,0576,Green Oaks & Calmont - I 30,Northbound - Far Side,32.734606,-97.434408,,,,,,0
577,0577,Ridgmar Mall Transfer Center,,32.740079,-97.434162,,,,3,,0
578,0578,Green Oaks & West Fwy,Southbound - Near Side,32.736121,-97.434337,,,,,,0
579,0579,Green Oaks & Calmont,Southbound - Near Side,32.734341,-97.434712,,,,,,0
580,0580,Lackland & Locke,Southbound - Far Side,32.731743,-97.434737,,,,,,0
583,0583,Lackland & Z Boaz,Southbound - Far Side,32.722464,-97.43444,,,,,,0
584,0584,Camp Bowie & Clayton,Eastbound - Far Side,32.724065,-97.42632,,,,,,0
585,0585,Camp Bowie & Hilldale,Eastbound - Near Side,32.72545,-97.422994,,,,,,0
586,0586,Camp Bowie & Bernie Anderson - Fairfield,Eastbound - Mid Block,32.727052,-97.419185,,,,,,0
587,0587,Camp Bowie & Winthrop,Eastbound - Near Side,32.728706,-97.4152,,,,,,0
588,0588,Camp Bowie & Curzon - Littlepage,Eastbound - Mid Block,32.730178,-97.411776,,,,,,0
589,0589,Camp Bowie & Halloran,Eastbound - Near Side,32.730937,-97.409858,,,,,,0
591,0591,Camp Bowie & Pershing,Eastbound - Far Side,32.735921,-97.397948,,,,,,0
592,0592,Camp Bowie & Penticost,Eastbound - Near Side,32.737073,-97.395194,,,,,,0
593,0593,Camp Bowie & Eldridge,Eastbound - Near Side,32.737857,-97.393316,,,,,,0
595,0595,Camp Bowie & Hulen,Eastbound - Far Side,32.740408,-97.387217,,,,,,0
596,0596,Camp Bowie & Clover,Eastbound - Near Side,32.743971,-97.378673,,,,,,0
597,0597,Camp Bowie & Zeloski - Watonga,Eastbound - Mid Block,32.745487,-97.375082,,,,,,0
598,0598,Camp Bowie & Watonga,Eastbound - Near Side,32.746252,-97.373234,,,,,,0
599,0599,Camp Bowie & Watonga - Montgomery,Eastbound - Mid Block,32.746898,-97.371653,,,,,,0
600,0600,Lancaster & Cedar,Eastbound - Far Side,32.746073,-97.314488,,,,,,0
601,0601,Lancaster & Pine,Eastbound - Far Side,32.746033,-97.311217,,,,,,0
606,0606,Lancaster & Whitson - Hudson,Eastbound - Mid Block,32.745224,-97.293931,,,,,,0
607,0607,Lancaster & Anna,Eastbound - Near Side,32.744424,-97.291126,,,,,,0
608,0608,Lancaster & Sanborn,Eastbound - Far Side,32.74075,-97.284024,,,,,,0
612,0612,Lancaster & Ayers,Eastbound - Near Side,32.740722,-97.271203,,,,,,0
614,0614,Lancaster & Oakland - Rand,Eastbound - Mid Block,32.740702,-97.260132,,,,,,0
