from_stop_id,to_stop_id,transfer_type,min_transfer_time
1988,418,,
418,1495,,
18,28,,
28,18,,
1162,411,,
1030,1423,,
3099,3100,,
3823,1563,,
1563,3828,,
989,1007,,
1007,989,,
601,658,,
1752,1756,,
949,853,,
4055,4065,,
425,1766,,
933,1411,,
1411,875,,
1355,1318,,
3473,3542,,
3542,3473,,
3438,3477,,
2815,1186,,
781,1779,,
1103,4017,,
3167,1983,,
3959,3215,,
4050,532,,
4060,4055,,
4054,4059,,
2785,4059,,
78,4060,,
4066,4060,,
1201,3479,,
4283,3076,,
579,4283,,
1388,1563,,
3098,3096,,
3096,3099,,
3098,3097,,
3097,3099,,
4058,4052,,
4059,4058,,
3100,3098,,
4060,4066,,
1411,1394,,
4162,4161,,
4054,2785,,
1106,658,,
4054,78,,
1038,3412,,
1049,830,,
1081,830,,
4057,4055,,
1906,1913,,
1076,1054,,
690,684,,
4056,2785,,
629,1779,,
990,837,,
837,1007,,
4066,4056,,
919,4393,,
4054,4056,,
4194,4155,,
3522,1497,,
1499,1553,,
1755,1752,,
2785,4058,,
1835,408,,
735,705,,
509,3643,,
658,601,,
964,989,,
4054,4066,,
1756,1752,,
875,933,,
933,875,,
385,1031,,
4066,2785,,
875,1394,,
2032,4336,,
1394,933,,
1049,1081,,
853,948,,
4074,1285,,
4059,4056,,
4055,4060,,
3317,3136,,
4027,1201,,
4059,4060,,
3076,4283,,
445,451,,
78,4065,,
1018,1237,,
4061,4054,,
3096,3098,,
4059,78,,
4061,78,,
4167,4159,,
4059,2785,,
4061,2785,,
4151,4162,,
978,2297,,
1106,3373,,
830,1049,,
4061,4059,,
1018,1025,,
4052,4058,,
4052,4055,,
4056,4057,,
4214,3896,,
576,579,,
4441,3756,,
4052,4066,,
4353,577,,
3893,2040,,
4066,4061,,
4056,4061,,
990,964,,
837,964,,
4368,4366,,
4393,889,,
4169,4194,,
4170,4427,,
1498,1499,,
3479,1201,,
4055,4058,,
411,1162,,
1864,1878,,
78,4058,,
3828,1388,,
3171,3189,,
1176,2053,,
3624,3167,,
1872,1867,,
393,1859,,
4065,4066,,
4057,4065,,
4066,4065,,
1766,425,,
2367,339,,
3098,3099,,
1411,933,,
557,595,,
595,557,,
4061,4066,,
3477,3438,,
4017,1103,,
1878,406,,
406,1878,,
4060,4056,,
579,3076,,
2027,4284,,
1025,2,,
1025,1237,,
3235,913,,
3100,3097,,
2785,4052,,
4061,4058,,
3686,131,,
4060,4059,,
4055,4054,,
4057,2785,,
4162,4166,,
4161,4162,,
4166,4162,,
3373,1106,,
3373,658,,
3196,787,,
4052,4059,,
579,576,,
4065,4052,,
4374,1276,,
4273,3819,,
4056,4060,,
1060,1070,,
4052,4056,,
1007,837,,
919,889,,
4065,4056,,
4155,4194,,
2053,3761,,
1754,1753,,
1755,1756,,
682,2171,,
1756,1754,,
1865,1877,,
4065,4058,,
3188,3117,,
3098,3100,,
3823,1388,,
1563,3823,,
4066,4055,,
3828,3823,,
78,4055,,
989,964,,
1756,1753,,
1287,1284,,
1318,1355,,
339,2367,,
3264,3263,,
2032,4335,,
3887,661,,
3147,3148,,
4055,4061,,
451,445,,
3380,4001,,
4073,4071,,
1522,1523,,
1523,1522,,
4284,1070,,
4159,4152,,
3096,3100,,
4061,4052,,
4054,4052,,
4057,78,,
3097,3098,,
131,3686,,
4060,78,,
4057,4054,,
78,4054,,
4166,4151,,
496,3643,,
78,2785,,
1106,601,,
4061,4055,,
972,1081,,
4071,4073,,
1025,1018,,
948,854,,
2123,2118,,
575,578,,
1070,1060,,
426,423,,
469,2470,,
629,780,,
4468,4158,,
4367,217,,
4393,919,,
4366,4368,,
4370,3264,,
3761,1176,,
4284,1060,,
565,3263,,
1070,2027,,
1755,1754,,
1495,418,,
2043,1029,,
4057,4058,,
1862,1863,,
1877,1865,,
3796,641,,
1388,3828,,
1028,1103,,
853,949,,
875,1411,,
1092,4335,,
1081,1049,,
949,854,,
949,948,,
797,787,,
4061,4056,,
4057,4059,,
4055,4056,,
78,4061,,
4283,579,,
4060,4061,,
1070,4284,,
2,1018,,
3097,3096,,
3096,3097,,
3099,3097,,
3100,3099,,
78,4052,,
4060,4054,,
4055,78,,
4159,4167,,
4060,2785,,
4161,4166,,
4055,2785,,
601,3373,,
4058,4066,,
1081,972,,
4058,4055,,
3943,4073,,
1753,1752,,
4052,4054,,
4056,4059,,
2040,3893,,
578,575,,
4052,2785,,
780,629,,
964,1007,,
3264,4370,,
1754,1756,,
1755,1753,,
468,505,,
4054,4058,,
1878,1864,,
3117,3188,,
641,3796,,
4065,4055,,
3823,3828,,
3189,3171,,
3167,3624,,
3425,3508,,
4057,4066,,
4054,4065,,
1752,1753,,
4066,4057,,
1031,385,,
1394,875,,
1186,2815,,
1423,1030,,
801,780,,
3148,3147,,
787,797,,
780,801,,
4059,4055,,
4066,4059,,
3136,3317,,
564,3265,,
758,743,,
3958,4277,,
3380,4027,,
1563,1388,,
4167,4152,,
1237,1018,,
1018,2,,
913,3235,,
3519,3966,,
3966,3519,,
4151,4161,,
4151,4166,,
3100,3096,,
3099,3096,,
3097,3100,,
4055,4057,,
4059,4057,,
4061,4057,,
4057,4052,,
4054,4057,,
4143,3944,,
1394,1411,,
4055,4059,,
4161,4151,,
3373,601,,
4059,4066,,
889,919,,
942,3723,,
3723,942,,
4056,4054,,
3896,4214,,
684,690,,
2118,2123,,
3277,990,,
1913,1906,,
3819,4273,,
390,720,,
4056,4066,,
4052,4060,,
1054,1076,,
964,837,,
4052,4065,,
4056,4065,,
4367,4366,,
4366,4367,,
4366,217,,
4367,4368,,
1237,2174,,
4057,4056,,
3723,1132,,
1753,1754,,
1756,1755,,
1752,1754,,
505,468,,
705,735,,
408,1835,,
3828,1563,,
4065,4057,,
989,837,,
3643,496,,
3119,3129,,
537,3542,,
3099,3098,,
4065,2785,,
1284,1287,,
4066,4054,,
4065,4054,,
1022,2780,,
853,854,,
16,6,,
6,16,,
1779,781,,
532,4050,,
4058,4059,,
4058,4060,,
4054,4060,,
4059,4061,,
743,758,,
3076,579,,
1132,1138,,
1138,1132,,
1237,1025,,
2,1025,,
2,1237,,
4060,4057,,
4058,4057,,
78,4057,,
4058,4054,,
4166,4161,,
4162,4151,,
384,3903,,
830,1081,,
1049,972,,
4054,4055,,
1264,1304,,
2470,469,,
4056,4052,,
4419,1175,,
3756,4441,,
577,4353,,
4052,4057,,
3944,4143,,
1175,4419,,
4052,78,,
4065,4061,,
1007,964,,
4158,4468,,
4368,217,,
4058,4056,,
78,4056,,
3761,2053,,
1553,1499,,
2174,1237,,
1754,1752,,
2171,682,,
1029,2043,,
418,1988,,
1863,1862,,
1499,1498,,
4066,4058,,
1388,3823,,
1000,1067,,
1067,1000,,
3412,1038,,
1176,3761,,
3129,3119,,
837,989,,
4066,78,,
4065,78,,
933,1394,,
1752,1755,,
1754,1755,,
3263,3264,,
1092,4336,,
4307,3646,,
78,4059,,
3265,564,,
1859,393,,
4061,4060,,
3862,1435,,
1435,3862,,
4277,3958,,
4073,3943,,
2785,78,,
1983,3167,,
4066,4052,,
78,4066,,
854,948,,
4059,4054,,
4060,4058,,
4152,4167,,
4152,4159,,
4058,2785,,
4088,3981,,
3903,384,,
2297,978,,
4058,78,,
972,1049,,
4071,3943,,
972,830,,
2027,1070,,
1304,1264,,
4056,4058,,
4056,4055,,
990,3277,,
1276,4374,,
830,971,,
3332,4388,,
4058,4061,,
971,830,,
4056,78,,
4052,4061,,
4061,4065,,
3263,565,,
2785,4056,,
217,4368,,
1060,4284,,
